SEGMENT,DISTANCE,ANGLE
HN,467.768417548417,1.230005000000003
AG,467.719375202107,1.230005100000003
HN,467.719368192180,1.230005100000003
AG,467.670326941365,1.230005200000003
HN,467.670319934968,1.230005200000003
AG,467.621285304527,1.230005300000003
HN,467.621278298743,1.230005300000003
AG,467.572236915998,1.2300054000000031
HN,467.572229911037,1.2300054000000031
AG,467.523189363886,1.2300055000000032
HN,467.523182358728,1.2300055000000032
AG,467.474145518097,1.2300056000000033
HN,467.474138514547,1.2300056000000033
AG,467.425098011334,1.2300057000000033
HN,467.425091009442,1.2300057000000033
AG,467.376050008581,1.2300058000000034
HN,467.376043005920,1.2300058000000034
AG,467.327003111179,1.2300059000000034
HN,467.326996108972,1.2300059000000034
AG,467.277957276792,1.2300060000000035
HN,467.277950275859,1.2300060000000035
AG,467.228912162730,1.2300061000000035
HN,467.228905162555,1.2300061000000035
AG,467.179858533682,1.2300062000000036
HN,467.179851534203,1.2300062000000036
AG,467.130816260537,1.2300063000000037
HN,467.130809261928,1.2300063000000037
AG,467.081768822404,1.2300064000000037
HN,467.081761824847,1.2300064000000037
AG,467.032723634964,1.2300065000000038
HN,467.032716637649,1.2300065000000038
AG,466.983680327254,1.2300066000000038
HN,466.983673333072,1.2300066000000038
AG,466.934630762304,1.230006700000004
HN,466.934623766411,1.230006700000004
AG,466.885585641672,1.230006800000004
HN,466.885578647348,1.230006800000004
AG,466.836540239934,1.230006900000004
HN,466.836533246820,1.230006900000004
AG,466.787490729572,1.230007000000004
HN,466.787483735426,1.230007000000004
AG,466.738444835638,1.2300071000000041
HN,466.738437842733,1.2300071000000041
AG,466.689399469210,1.2300072000000042
HN,466.689392478048,1.2300072000000042
AG,466.640347734243,1.2300073000000042
HN,466.640340741461,1.2300073000000042
AG,466.591306146858,1.2300074000000043
HN,466.591299156552,1.2300074000000043
AG,466.542258756817,1.2300075000000044
HN,466.542251767192,1.2300075000000044
AG,466.493210939965,1.2300076000000044
HN,466.493203951962,1.2300076000000044
AG,466.444166378509,1.2300077000000045
HN,466.444159391396,1.2300077000000045
AG,466.395119591836,1.2300078000000045
HN,466.395112601999,1.2300078000000045
AG,466.346070561125,1.2300079000000046
HN,466.346063575670,1.2300079000000046
AG,466.297024497478,1.2300080000000047
HN,466.297017510783,1.2300080000000047
AG,466.247977986200,1.2300081000000047
HN,466.247971001992,1.2300081000000047
AG,466.198932875326,1.2300082000000048
HN,466.198925888758,1.2300082000000048
AG,466.149885928927,1.2300083000000048
HN,466.149878945128,1.2300083000000048
AG,466.100839660222,1.2300084000000049
HN,466.100832677074,1.2300084000000049
AG,466.051793044736,1.230008500000005
HN,466.051786061847,1.230008500000005
AG,466.002744696406,1.230008600000005
HN,466.002737715209,1.230008600000005
AG,465.953701291504,1.230008700000005
HN,465.953694308184,1.230008700000005
AG,465.904655571270,1.2300088000000051
HN,465.904648590478,1.2300088000000051
AG,465.855610010765,1.2300089000000052
HN,465.855603032426,1.2300089000000052
AG,465.806561125065,1.2300090000000052
HN,465.806554146633,1.2300090000000052
AG,465.757515176884,1.2300091000000053
HN,465.757508196710,1.2300091000000053
AG,465.708468909301,1.2300092000000054
HN,465.708461931358,1.2300092000000054
AG,465.659423284135,1.2300093000000054
HN,465.659416308267,1.2300093000000054
AG,465.610375287709,1.2300094000000055
HN,465.610368312195,1.2300094000000055
AG,465.561329424210,1.2300095000000055
HN,465.561322448676,1.2300095000000055
AG,465.512284558869,1.2300096000000056
HN,465.512277584395,1.2300096000000056
AG,465.463235841281,1.2300097000000056
HN,465.463228866499,1.2300097000000056
AG,465.414188936025,1.2300098000000057
HN,465.414181961413,1.2300098000000057
AG,465.365144578550,1.2300099000000058
HN,465.365137604813,1.2300099000000058
AG,465.316099917419,1.2300100000000058
HN,465.316092945662,1.2300100000000058
AG,465.267054134495,1.2300101000000059
HN,465.267047164672,1.2300101000000059
AG,465.218006672471,1.230010200000006
HN,465.217999703855,1.230010200000006
AG,465.168960569308,1.230010300000006
HN,465.168953599364,1.230010300000006
AG,465.119915894336,1.230010400000006
HN,465.119908928311,1.230010400000006
AG,465.070869253009,1.2300105000000061
HN,465.070862286300,1.2300105000000061
AG,465.021822347542,1.2300106000000062
HN,465.021815380643,1.2300106000000062
AG,464.972774310615,1.2300107000000062
HN,464.972767343973,1.2300107000000062
AG,464.923729698707,1.2300108000000063
HN,464.923722732617,1.2300108000000063
AG,464.874681562528,1.2300109000000063
HN,464.874674597601,1.2300109000000063
AG,464.825638623962,1.2300110000000064
HN,464.825631658827,1.2300110000000064
AG,464.776590130021,1.2300111000000065
HN,464.776583166395,1.2300111000000065
