x1,y1,z1,x2,y2,z2
1.41547199,21,8,,,
1.41547199,224,4,,,
1.41547199,2035,10,,,
1.41547199,1026,12,,,
1.41547199,1503,4,,,
1.41547199,502,4,,,
1.41547199,1532,10,,,
1.41547199,69,2,,,
1.41547199,190,4,,,
1.41547199,1962,2,,,
1.41547199,1523,4,,,
1.41547199,1038,8,,,
1.41547199,1276,6,,,
1.41547199,1505,4,,,
1.41547199,1051,4,,,
1.41547199,49,4,,,
1.41547199,1052,4,,,
1.41547199,897,8,,,
1.41547199,890,2,,,
1.41547199,1799,4,,,
1.41547199,1855,6,,,
1.41547199,1000,4,,,
1.41547199,106,2,,,
1.41547199,997,4,,,
1.41547199,1559,2,,,
1.41547199,67,2,,,
1.41547199,491,2,,,
1.41547199,1983,10,,,
1.41547199,1939,2,,,
1.41547199,2016,16,,,
1.41547199,703,6,,,
1.41547199,1560,2,,,
1.41547199,1016,10,,,
1.41547199,1153,8,,,
1.41547199,1002,4,,,
1.41547199,508,10,,,
1.41547199,1217,4,,,
1.41547199,1411,4,,,
1.41547199,1550,4,,,
1.41547199,639,10,,,
1.41547199,1558,2,,,
1.41547199,350,2,,,
1.41547199,2014,8,,,
1.41547199,81,2,,,
1.41547199,83,2,,,
1.41547199,1544,4,,,
1.41547199,31,16,,,
1.41547199,1017,10,,,
1.41547199,1630,2,,,
1.41547199,12,10,,,
1.41547199,511,16,,,
1.41547199,607,4,,,
1.41547199,1980,2,,,
1.41547199,523,4,,,
1.41547199,1413,2,,,
1.41547199,992,8,,,
1.41547199,1015,6,,,
1.41547199,40,4,,,
1.41547199,1511,2,,,
1.41547199,1986,4,,,
1.41547199,1089,4,,,
1.41547199,492,2,,,
1.41547199,77,2,,,
1.41547199,1542,10,,,
1.41547199,1951,8,,,
1.41547199,1668,2,,,
1.41547199,889,2,,,
1.41547199,536,2,,,
1.41547199,1727,6,,,
1.41547199,540,2,,,
1.41547199,1247,4,,,
1.41547199,1001,4,,,
1.41547199,1942,2,,,
1.41547199,1414,2,,,
1.41547199,504,12,,,
1.41547199,1954,2,,,
1.41547199,225,2,,,
1.41547199,958,4,,,
1.41547199,493,2,,,
1.41547199,1793,10,,,
1.41547199,1998,4,,,
1.41547199,1786,4,,,
1.41547199,1287,4,,,
1.41547199,258,6,,,
1.41547199,1035,6,,,
1.41547199,7,14,,,
1.41547199,526,4,,,
1.41547199,48,4,,,
1.41547199,1526,4,,,
1.41547199,76,2,,,
1.41547199,848,4,,,
1.41547199,772,4,,,
1.41547199,2008,4,,,
1.41547199,1118,2,,,
1.41547199,1566,4,,,
1.41547199,2001,4,,,
1.41547199,895,10,,,
1.41547199,1932,2,,,
1.41547199,1047,4,,,
1.41547199,1666,4,,,
1.41547199,1792,12,,,
1.41547199,2032,10,,,
1.41547199,1993,4,,,
1.41547199,87,2,,,
1.41547199,1013,6,,,
1.41547199,480,6,,,
1.41547199,1564,2,,,
1.41547199,532,2,,,
1.41547199,1312,4,,,
1.41547199,643,4,,,
1.41547199,2004,4,,,
1.41547199,1404,4,,,
1.41547199,1726,4,,,
1.41547199,1926,4,,,
1.41547199,574,4,,,
1.41547199,888,2,,,
1.41547199,42,4,,,
1.41547199,286,2,,,
1.41547199,55,4,,,
1.41547199,449,4,,,
1.41547199,95,8,,,
1.41547199,928,4,,,
1.41547199,119,2,,,
1.41547199,1972,2,,,
1.41547199,1121,2,,,
1.41547199,1941,2,,,
1.41547199,287,4,,,
1.41547199,1920,14,,,
1.41547199,1539,10,,,
1.41547199,82,2,,,
1.41547199,1529,8,,,
1.41547199,1400,2,,,
1.41547199,1517,2,,,
1.41547199,1248,4,,,
1.41547199,516,8,,,
1.41547199,253,8,,,
1.41547199,846,4,,,
1.41547199,1987,4,,,
1.41547199,2019,8,,,
1.41547199,1975,2,,,
1.41547199,1041,4,,,
1.41547199,1953,6,,,
1.41547199,766,10,,,
1.41547199,101,2,,,
1.41547199,1086,4,,,
1.41547199,486,2,,,
1.41547199,1375,4,,,
1.41547199,900,2,,,
1.41547199,482,2,,,
1.41547199,1785,4,,,
1.41547199,485,2,,,
1.41547199,1658,2,,,
1.41547199,1549,4,,,
1.41547199,1996,4,,,
1.41547199,9,10,,,
1.41547199,1009,8,,,
1.41547199,319,6,,,
1.41547199,1438,2,,,
1.41547199,159,4,,,
1.41547199,529,2,,,
1.41547199,994,4,,,
1.41547199,1568,4,,,
1.41547199,84,2,,,
1.41547199,2039,10,,,
1.41547199,1027,12,,,
1.41547199,1925,4,,,
1.41547199,1279,12,,,
1.41547199,1011,6,,,
1.41547199,1514,2,,,
1.41547199,1278,10,,,
1.41547199,763,4,,,
1.41547199,500,4,,,
1.41547199,133,2,,,
1.41547199,2017,12,,,
1.41547199,1923,6,,,
1.41547199,1184,4,,,
1.41547199,518,8,,,
1.41547199,25,8,,,
1.41547199,1944,2,,,
1.41547199,1087,6,,,
1.41547199,488,2,,,
1.41547199,535,2,,,
1.41547199,1528,8,,,
1.41547199,634,2,,,
1.41547199,85,2,,,
1.41547199,1824,4,,,
1.41547199,386,4,,,
1.41547199,2042,14,,,
1.41547199,575,6,,,
1.41547199,161,2,,,
1.41547199,2047,26,,,
1.41547199,93,2,,,
1.41547199,1410,4,,,
1.41547199,250,4,,,
1.41547199,1006,4,,,
1.41547199,1277,6,,,
1.41547199,542,4,,,
1.41547199,519,8,,,
1.41547199,380,4,,,
1.41547199,248,4,,,
1.41547199,2028,8,,,
1.41547199,15,10,,,
1.41547199,96,8,,,
1.41547199,1936,2,,,
1.41547199,1974,2,,,
1.41547199,929,2,,,
1.41547199,1940,2,,,
1.41547199,609,2,,,
1.41547199,104,2,,,
1.41547199,999,4,,,
1.41547199,1973,2,,,
1.41547199,103,2,,,
1.41547199,991,4,,,
1.41547199,1530,8,,,
1.41547199,127,14,,,
1.41547199,129,8,,,
1.41547199,1518,2,,,
1.41547199,764,6,,,
1.41547199,1856,6,,,
1.41547199,1999,4,,,
1.41547199,510,14,,,
1.41547199,259,6,,,
1.41547199,73,2,,,
1.41547199,352,4,,,
1.41547199,531,2,,,
1.41547199,94,6,,,
1.41547199,1,22,,,
1.41547199,522,4,,,
1.41547199,1280,12,,,
1.41547199,1934,2,,,
1.41547199,735,4,,,
1.41547199,1955,2,,,
1.41547199,132,2,,,
1.41547199,501,4,,,
1.41547199,105,2,,,
1.41547199,538,2,,,
1.41547199,1964,2,,,
1.41547199,484,2,,,
1.41547199,260,4,,,
1.41547199,5,14,,,
1.41547199,191,6,,,
1.41547199,576,6,,,
1.41547199,798,2,,,
1.41547199,17,8,,,
1.41547199,768,12,,,
1.41547199,2013,4,,,
1.41547199,1791,12,,,
1.41547199,646,2,,,
1.41547199,102,2,,,
1.41547199,126,14,,,
1.41547199,2018,8,,,
1.41547199,1273,4,,,
1.41547199,97,6,,,
1.41547199,841,4,,,
1.41547199,513,14,,,
1.41547199,1553,2,,,
1.41547199,1045,4,,,
1.41547199,43,4,,,
1.41547199,14,10,,,
1.41547199,35,4,,,
1.41547199,1959,2,,,
1.41547199,98,2,,,
1.41547199,1662,8,,,
1.41547199,534,2,,,
1.41547199,1633,2,,,
1.41547199,636,4,,,
1.41547199,862,2,,,
1.41547199,509,10,,,
1.41547199,378,2,,,
1.41547199,524,4,,,
1.41547199,2012,4,,,
1.41547199,671,4,,,
1.41547199,1661,4,,,
1.41547199,16,8,,,
1.41547199,673,2,,,
1.41547199,1978,2,,,
1.41547199,891,2,,,
1.41547199,645,2,,,
1.41547199,110,2,,,
1.41547199,498,4,,,
1.41547199,0,26,,,
1.41547199,705,4,,,
1.41547199,842,4,,,
1.41547199,416,4,,,
1.41547199,1889,2,,,
1.41547199,1152,10,,,
1.41547199,1946,2,,,
1.41547199,130,4,,,
1.41547199,1407,10,,,
1.41547199,1729,4,,,
1.41547199,11,10,,,
1.41547199,1924,4,,,
1.41547199,1657,2,,,
1.41547199,36,4,,,
1.41547199,1502,2,,,
1.41547199,1020,12,,,
1.41547199,1439,4,,,
1.41547199,391,2,,,
1.41547199,1971,2,,,
1.41547199,1917,4,,,
1.41547199,3,16,,,
1.41547199,1412,2,,,
1.41547199,1473,4,,,
1.41547199,1789,6,,,
1.41547199,1014,6,,,
1.41547199,899,4,,,
1.41547199,2,16,,,
1.41547199,1044,4,,,
1.41547199,1401,2,,,
1.41547199,1150,8,,,
1.41547199,1155,4,,,
1.41547199,1050,4,,,
1.41547199,1034,6,,,
1.41547199,1795,10,,,
1.41547199,26,8,,,
1.41547199,1601,4,,,
1.41547199,1950,6,,,
1.41547199,1659,2,,,
1.41547199,1036,6,,,
1.41547199,515,10,,,
1.41547199,254,10,,,
1.41547199,1441,2,,,
1.41547199,384,10,,,
1.41547199,770,6,,,
1.41547199,1979,2,,,
1.41547199,2023,8,,,
1.41547199,865,2,,,
1.41547199,863,4,,,
1.41547199,1797,4,,,
1.41547199,1149,4,,,
1.41547199,1569,2,,,
1.41547199,672,4,,,
1.41547199,1857,4,,,
1.41547199,1272,4,,,
1.41547199,1663,10,,,
1.41547199,1599,6,,,
1.41547199,927,4,,,
1.41547199,638,8,,,
1.41547199,1022,16,,,
1.41547199,494,2,,,
1.41547199,533,2,,,
1.41547199,1600,6,,,
1.41547199,1284,4,,,
1.41547199,1970,2,,,
1.41547199,843,4,,,
1.41547199,530,2,,,
1.41547199,1516,2,,,
1.41547199,606,2,,,
1.41547199,68,2,,,
1.41547199,91,2,,,
1.41547199,1520,4,,,
1.41547199,321,4,,,
1.41547199,1527,4,,,
1.41547199,998,4,,,
1.41547199,1311,4,,,
1.41547199,898,4,,,
1.41547199,32,12,,,
1.41547199,1281,10,,,
1.41547199,901,2,,,
1.41547199,2027,8,,,
1.41547199,24,8,,,
1.41547199,1548,4,,,
1.41547199,1761,2,,,
1.41547199,2034,10,,,
1.41547199,125,6,,,
1.41547199,1825,2,,,
1.41547199,320,6,,,
1.41547199,30,12,,,
1.41547199,1403,2,,,
1.41547199,1275,4,,,
1.41547199,1794,8,,,
1.41547199,72,2,,,
1.41547199,54,4,,,
1.41547199,896,10,,,
1.41547199,737,2,,,
1.41547199,1957,2,,,
1.41547199,1054,6,,,
1.41547199,2000,4,,,
1.41547199,1508,2,,,
1.41547199,1547,4,,,
1.41547199,1961,2,,,
1.41547199,256,12,,,
1.41547199,608,4,,,
1.41547199,33,8,,,
1.41547199,124,6,,,
1.41547199,1935,2,,,
1.41547199,1157,2,,,
1.41547199,1046,4,,,
1.41547199,4,14,,,
1.41547199,1670,2,,,
1.41547199,545,2,,,
1.41547199,761,4,,,
1.41547199,1010,6,,,
1.41547199,1984,14,,,
1.41547199,80,2,,,
1.41547199,1958,2,,,
1.41547199,893,4,,,
1.41547199,64,10,,,
1.41547199,1040,4,,,
1.41547199,1005,4,,,
1.41547199,1004,4,,,
1.41547199,769,10,,,
1.41547199,1012,6,,,
1.41547199,1598,4,,,
1.41547199,160,4,,,
1.41547199,222,2,,,
1.41547199,118,2,,,
1.41547199,116,2,,,
1.41547199,2037,10,,,
1.41547199,1286,4,,,
1.41547199,1215,6,,,
1.41547199,62,10,,,
1.41547199,1512,2,,,
1.41547199,1565,2,,,
1.41547199,503,4,,,
1.41547199,1515,2,,,
1.41547199,902,2,,,
1.41547199,1929,2,,,
1.41547199,99,2,,,
1.41547199,1119,4,,,
1.41547199,28,8,,,
1.41547199,1963,2,,,
1.41547199,960,6,,,
1.41547199,261,4,,,
1.41547199,1283,6,,,
1.41547199,1120,4,,,
1.41547199,255,12,,,
1.41547199,39,4,,,
1.41547199,800,4,,,
1.41547199,2045,16,,,
1.41547199,1552,2,,,
1.41547199,89,2,,,
1.41547199,59,4,,,
1.41547199,1343,6,,,
1.41547199,1028,10,,,
1.41547199,1531,8,,,
1.41547199,1660,4,,,
1.41547199,19,8,,,
1.41547199,1025,16,,,
1.41547199,109,2,,,
1.41547199,1538,10,,,
1.41547199,864,4,,,
1.41547199,775,4,,,
1.41547199,120,4,,,
1.41547199,1956,2,,,
1.41547199,223,4,,,
1.41547199,894,8,,,
1.41547199,2031,8,,,
1.41547199,801,2,,,
1.41547199,1039,10,,,
1.41547199,1728,6,,,
1.41547199,765,6,,,
1.41547199,115,2,,,
1.41547199,845,4,,,
1.41547199,499,4,,,
1.41547199,1664,10,,,
1.41547199,2043,14,,,
1.41547199,1535,16,,,
1.41547199,1144,2,,,
1.41547199,1151,10,,,
1.41547199,1631,4,,,
1.41547199,1148,4,,,
1.41547199,1182,2,,,
1.41547199,1313,2,,,
1.41547199,1760,4,,,
1.41547199,128,10,,,
1.41547199,376,2,,,
1.41547199,383,10,,,
1.41547199,1561,2,,,
1.41547199,1822,2,,,
