SEGMENT,DISTANCE,ANGLE
AG,25791.7551194851,1.286
HN,25791.7546907389,1.286
AG,26238.3163957766,1.287
HN,26238.3159588091,1.287
AG,26684.0745300471,1.288
HN,26684.0740848455,1.288
AG,66096.6831340386,1.107
HN,66096.6823560058,1.107
AG,65523.6666142172,1.108
HN,65523.6658413544,1.108
AG,64951.2393356950,1.109
HN,64951.2385680200,1.109
AG,64379.4028452689,1.11
HN,64379.4020828003,1.11
AG,63808.1586801663,1.111
HN,63808.1579229225,1.111
AG,63237.5083827294,1.112
HN,63237.5076307290,1.112
AG,62667.4534887396,1.113
HN,62667.4527420009,1.113
AG,38739.5228597512,1.156
HN,38739.5223565989,1.156
AG,38197.1288891499,1.157
HN,38197.1283920634,1.157
AG,37655.3955093987,1.158
HN,37655.3950183941,1.158
AG,37114.3240927366,1.159
HN,37114.3236078314,1.159
AG,36573.9159861593,1.16
HN,36573.9155073741,1.16
AG,36034.1725440157,1.161
HN,36034.1720713654,1.161
AG,35495.0951125031,1.162
HN,35495.0946460051,1.162
AG,9419.02219592025,1.212
HN,9419.02205954104,1.212
AG,8915.60576727930,1.213
HN,8915.60563794271,1.213
AG,8412.91994152192,1.214
HN,8412.91981924563,1.214
AG,7910.96584893578,1.215
HN,7910.96573373703,1.215
AG,7409.74461866957,1.216
HN,7409.74451056379,1.216
AG,6909.25738027448,1.217
HN,6909.25727927940,1.217
AG,6409.50524747338,1.218
HN,6409.50515360607,1.218
AG,17617.2763804205,1.268
HN,17617.2760970857,1.268
AG,18078.1489733997,1.269
HN,18078.1486821172,1.269
AG,18538.2339286301,1.27
HN,18538.2336293817,1.27
AG,18997.5303492031,1.271
HN,18997.5300419758,1.271
AG,19456.0373413922,1.272
HN,19456.0370261679,1.272
AG,19913.7540123963,1.273
HN,19913.7536891619,1.273
AG,20370.6794846513,1.274
HN,20370.6791533927,1.274
AG,0.0368991796379231,1.230959342
HN,0.0368991780860481,1.230959342
AG,0.0364093661785720,1.230959343
HN,0.0364093659885856,1.230959343
AG,0.0359185238808784,1.230959344
HN,0.0359185239320068,1.230959344
AG,0.0354295715843877,1.230959345
HN,0.0354295725514139,1.230959345
AG,0.0349396960823125,1.230959346
HN,0.0349396965382849,1.230959346
AG,0.0344469288083544,1.230959347
HN,0.0344469275550849,1.230959347
AG,0.0339587641248020,1.230959348
HN,0.0339587646526521,1.230959348
AG,0.0231897451044639,1.23095937
HN,0.0231897435542527,1.23095937
AG,0.0226932933081079,1.230959371
HN,0.0226932918821545,1.230959371
AG,0.0222050042957640,1.230959372
HN,0.0222050045970435,1.230959372
AG,0.0217145351590346,1.230959373
HN,0.0217145337743547,1.230959373
