SEGMENT,DISTANCE,ANGLE
AG,4.39574075191420,1.4155
TG,14.3736404256239,1.4155
AT,15.8371458958147,1.4155
RO,4.00280229004199,1.4155
SO,7.32238085712797,1.4155
RS,6.93404168272893,1.4155
MP,4.00277924034041,1.4155
BH,4.39537016476238,1.4155
AG,4.89552621393406,1.41544
TG,16.0991187205899,1.41544
AT,17.7318693748893,1.41544
RO,4.45825678859015,1.41544
SO,8.22780656841595,1.41544
RS,7.78097175697516,1.41544
MP,4.45830290841319,1.41544
BH,4.89571551386954,1.41544
AG,0.323088125963187,1.41547
TG,1.11865931781553,1.41547
AT,1.21866756866827,1.41547
RO,0.294217923254530,1.41547
SO,0.576258374851323,1.41547
RS,0.535527483893044,1.41547
MP,0.294310120988197,1.41547
BH,0.323601090130496,1.41547
AG,7.35819216336779,1.41552
TG,24.1626740485533,1.41552
AT,26.6069906060141,1.41552
RO,6.70098022721913,1.41552
SO,12.3253718724977,1.41552
RS,11.6589369046147,1.41552
MP,6.70111317356345,1.41552
BH,7.35819855943169,1.41552
AG,16.5755243857325,1.41558
TG,54.4316039994369,1.41558
AT,59.9401668580725,1.41558
RO,15.0950068528012,1.41558
SO,27.7714669334942,1.41558
RS,26.2734552406548,1.41558
MP,15.0951352227499,1.41558
BH,16.5754320071172,1.41558
AG,0.142631836162874,1.41547292
TG,0.513814061198226,1.41547292
AT,0.566543908126075,1.41547292
RO,0.129790473903154,1.41547292
SO,0.270373953778685,1.41547292
RS,0.259688540166426,1.41547292
MP,0.129834627323240,1.41547292
BH,0.143005982913885,1.41547292
AG,0.151836894086043,1.41547298
TG,0.494323412508572,1.41547298
AT,0.558468805050946,1.41547298
RO,0.138163283349634,1.41547298
SO,0.255337757029004,1.41547298
RS,0.258794714966912,1.41547298
MP,0.138119048545516,1.41547298
BH,0.151417823285488,1.41547298
AG,0.00911923607203391,1.41547205
TG,0.119848323768950,1.41547205
AT,0.114193404229444,1.41547205
RO,0.00820922460697981,1.41547205
SO,0.0650419611520041,1.41547205
RS,0.0602301216610605,1.41547205
MP,0.00816444658052764,1.41547205
BH,0.00878523760864929,1.41547205
AG,0.140407926853082,1.41547291
TG,0.505722174841050,1.41547291
AT,0.535722579025443,1.41547291
RO,0.128479231513761,1.41547291
SO,0.252217374435473,1.41547291
RS,0.225293721768081,1.41547291
MP,0.128339730827770,1.41547291
BH,0.141173294730171,1.41547291
AG,0.148452090000870,1.41547296
TG,0.577783929667645,1.41547296
AT,0.626335477124717,1.41547296
RO,0.135522260554834,1.41547296
SO,0.294535070082394,1.41547296
RS,0.283204482682412,1.41547296
MP,0.135307844316050,1.41547296
BH,0.148578194332161,1.41547296
AG,0.00588269359989441,1.41547203
TG,0.0668904849212055,1.41547203
AT,0.0666606330208190,1.41547203
RO,0.00652455146666808,1.41547203
SO,0.0492753260059861,1.41547203
RS,0.0434950259172601,1.41547203
MP,0.00548143045430890,1.41547203
BH,0.00632756360475762,1.41547203
AG,3.35929177071850,1.41545
TG,11.0424861424699,1.41545
AT,12.1762417982849,1.41545
RO,3.05920317522139,1.41545
SO,5.65709765316064,1.41545
RS,5.35753628025353,1.41545
MP,3.05919585326216,1.41545
BH,3.35879354634796,1.41545
AG,5.82186068688676,1.41551
TG,19.1187403571968,1.41551
AT,21.0377585755657,1.41551
RO,5.30194776930627,1.41551
SO,9.75655383059849,1.41551
RS,9.21159375956510,1.41551
MP,5.30203680043794,1.41551
BH,5.82217049512485,1.41551
AG,15.0394219227233,1.41557
TG,49.3390442775310,1.41557
AT,54.3232179017335,1.41557
RO,13.6961296411046,1.41557
SO,25.1562726784277,1.41557
RS,23.7911762765734,1.41557
MP,13.6961094952909,1.41557
BH,15.0393415543983,1.41557
AG,195.299720941906,1.4142
TG,638.995887123723,1.4142
AT,704.772829597617,1.4142
RO,177.823936917229,1.4142
SO,325.819727178230,1.4142
RS,309.279162231455,1.4142
MP,177.824021770816,1.4142
BH,195.300102945903,1.4142
AG,103.033814910104,1.4148
TG,337.447997893003,1.4148
AT,371.964950575633,1.4148
RO,93.8218797083848,1.4148
SO,172.072145437256,1.4148
RS,163.135536787272,1.4148
MP,93.8218832920723,1.4148
BH,103.033179855743,1.4148
AG,11.1142944634213,1.4154
TG,36.3891861260450,1.4154
AT,40.0950809960000,1.4154
RO,10.1214849734328,1.4154
SO,18.5414574874249,1.4154
RS,17.5705953232021,1.4154
MP,10.1213880833816,1.4154
BH,11.1146560812407,1.4154
AG,50.3300485865374,1.4158
TG,165.154649668198,1.4158
AT,181.873245298110,1.4158
RO,45.8370408453534,1.4158
SO,84.2219201289987,1.4158
RS,79.6989445173136,1.4158
MP,45.8369404531283,1.4158
BH,50.3297376528018,1.4158
AG,0.0108954322085857,1.415472065
TG,0.0865129550361739,1.415472065
AT,0.0954689469345576,1.415472065
RO,0.0109292621811937,1.415472065
SO,0.0494189089237938,1.415472065
RS,0.0597109827134886,1.415472065
MP,0.0102480130307569,1.415472065
BH,0.0117140296307620,1.415472065
AG,0.0125088664821377,1.415472071
TG,0.106559038503838,1.415472071
AT,0.117127955542607,1.415472071
RO,0.0113406490944957,1.415472071
SO,0.0645833016150875,1.415472071
RS,0.0727822940335772,1.415472071
MP,0.0110938026499935,1.415472071
BH,0.0126212598880530,1.415472071
AG,0.0139528549530257,1.415472077
TG,0.0609388899480867,1.415472077
AT,0.0647827333380908,1.415472077
RO,0.0128142717321576,1.415472077
SO,0.0337267272796337,1.415472077
RS,0.0315668610741150,1.415472077
MP,0.0120211041479634,1.415472077
BH,0.0131041322102103,1.415472077
AG,0.0126827174024835,1.415472073620
TG,0.0837576717750127,1.415472073620
AT,0.0809857724713269,1.415472073620
RO,0.0118228432081371,1.415472073620
